Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Avenue U (F),17,B,"1,715","2,080",875,820,"1,463",678,-784,-53.6%,406
Avenue U (N),18,B,"4,767","1,795","2,803","2,954","3,931","1,377","-2,555",-65.0%,337
Avenue U (Q),,B,"8,322","8,188","8,804","8,492","8,248","2,675","-5,572",-67.6%,209
Avenue X (F),19,B,"1,817","1,988","1,822","1,759","2,112",915,"-1,197",-56.7%,391
Bay 50 St (D),,B,"2,575","2,960","2,854","2,649","2,619",961,"-1,658",-63.3%,387
Bay Pkwy (D),,B,"8,350","9,471","9,306","8,575","8,742","2,969","-5,773",-66.0%,184
Bay Pkwy (F),20,B,"1,476","1,232",522,536,"1,090",459,-631,-57.9%,416
Bay Pkwy (N),,B,"8,609","11,631","10,537","7,605","7,266","2,569","-4,697",-64.6%,223
Bay Ridge Av (R),21,B,"9,001","8,719","4,005","7,072","7,294","2,796","-4,498",-61.7%,197
Bay Ridge-95 St (R),,B,"5,730","5,510","4,361","4,754","4,663","2,022","-2,641",-56.6%,272
Bedford Av (L),,B,"45,740","49,479","48,007","42,024","26,623","7,852","-18,771",-70.5%,49
Bedford-Nostrand Avs (G),,B,"10,057","9,815","10,274","9,742","9,901","2,904","-6,997",-70.7%,187
