Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
Dyckman St (A),,M,"6,831","6,874","6,739","6,477","6,874","2,854","-4,020",-58.5%,227
East Broadway (F),,M,"14,228","14,654","14,365","13,868","13,995","5,146","-8,849",-63.2%,118
Franklin St (1),,M,"5,825","5,984","5,809","5,943","5,370","1,676","-3,694",-68.8%,335
"Fulton St (A,C,J,Z,2,3,4,5)",,M,"74,676","85,440","91,771","92,990","94,607","29,602","-65,005",-68.7%,5
"Grand Central-42 St (S,4,5,6,7)",,M,"160,294","158,580","154,711","155,345","157,273","44,778","-112,495",-71.5%,2
"Grand St (B,D)",,M,"24,281","24,649","24,460","23,422","24,323","8,742","-15,581",-64.1%,51
Harlem-148 St (3),,M,"4,096","4,017","3,899","4,074","3,707","1,528","-2,179",-58.8%,349
Houston St (1),,M,"15,286","15,333","15,283","15,698","15,685","4,702","-10,983",-70.0%,129
Inwood-207 St (A),,M,"9,317","9,350","9,217","8,793","9,615","3,796","-5,819",-60.5%,175
"Lexington Av (N,R,W)/59 St (4,5,6)",,M,"68,988","67,684","58,467","55,608","54,907","20,228","-34,679",-63.2%,11
"Lexington Av-53 St (E,M)/51 St (6)",,M,"70,686","69,750","66,118","64,499","66,260","19,883","-46,377",-70.0%,14
"Lexington Av-63 St (F,Q)",,M,"16,098","16,988","20,893","21,394","21,574","7,968","-13,606",-63.1%,59
Marble Hill-225 St (1),,M,"5,732","5,636","5,473","5,433","5,075","2,401","-2,674",-52.7%,267
"Prince St (R,W)",,M,"15,597","15,424","14,400","14,408","12,827","3,501","-9,326",-72.7%,180
Rector St (1),,M,"10,625","9,788","9,453","9,005","8,471","2,311","-6,160",-72.7%,275
"Rector St (R,W)",,M,"6,157","6,524","7,092","7,185","6,926","2,036","-4,890",-70.6%,302
Roosevelt Island (F),,M,"6,197","6,630","7,354","7,153","7,489","2,771","-4,717",-63.0%,230
"South Ferry (1)/Whitehall St (R,W)",,M,"28,809","29,534","33,019","33,797","34,033","9,996","-24,037",-70.6%,43
Spring St (6),,M,"11,543","11,390","11,019","10,822","11,230","3,317","-7,913",-70.5%,194
"Spring St (C,E)",,M,"12,914","12,775","12,360","13,054","14,756","4,495","-10,261",-69.5%,137
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",,M,"206,247","202,363","203,545","204,017","205,159","64,301","-140,858",-68.7%,1
"Wall St (2,3)",,M,"27,242","27,291","26,022","23,968","24,618","6,950","-17,667",-71.8%,75
"Wall St (4,5)",,M,"23,595","22,211","20,420","19,745","19,994","6,000","-13,995",-70.0%,89
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",,M,"42,760","42,755","41,835","40,666","41,938","13,278","-28,660",-68.3%,24
WTC Cortlandt (1),49,M,0,0,0,"3,558","13,871","3,687","-10,185",-73.4%,179
Queens,,,,,,,,,,,
103 St-Corona Plaza (7),,Q,"20,044","20,282","20,101","19,682","19,943","10,299","-9,644",-48.4%,37
104 St (A),49,Q,"1,890","2,189","1,900","1,841","1,823",817,"-1,006",-55.2%,407
"104 St (J,Z)",50,Q,"2,710","2,758","1,727","1,587","2,727","1,178","-1,549",-56.8%,382
111 St (7),,Q,"11,198","11,421","11,384","11,091","11,280","5,857","-5,423",-48.1%,92
111 St (A),51,Q,"2,727","1,947","2,571","2,596","2,620","1,152","-1,468",-56.0%,386
111 St (J),52,Q,"2,627","2,607","3,235","2,819","1,169",968,-201,-17.2%,399
"121 St (J,Z)",53,Q,"2,462","2,500","1,135","1,354","2,341","1,005","-1,336",-57.1%,396
169 St (F),,Q,"9,138","9,016","8,671","8,109","8,004","3,396","-4,609",-57.6%,187
21 St (G),,Q,"1,564","1,735","1,863","1,757","1,675",711,-964,-57.6%,410
21 St-Queensbridge (F),,Q,"9,447","9,779","10,209","10,840","11,184","4,372","-6,812",-60.9%,144
